Year,stat_area,Season,Value,Indicator
2007,511-513,fall,-1.1590227863978768,nefsc_size_spectra_slope
2008,511-513,fall,-1.168025756760664,nefsc_size_spectra_slope
2009,511-513,fall,-1.0702859199145431,nefsc_size_spectra_slope
2010,511-513,fall,-1.1871115228203695,nefsc_size_spectra_slope
2011,511-513,fall,-1.1346789209462729,nefsc_size_spectra_slope
2012,511-513,fall,-1.1007526775465037,nefsc_size_spectra_slope
2013,511-513,fall,-1.2655155395498328,nefsc_size_spectra_slope
2014,511-513,fall,-1.1508507865942272,nefsc_size_spectra_slope
2015,511-513,fall,-1.2576275058827775,nefsc_size_spectra_slope
2016,511-513,fall,-1.173769675008059,nefsc_size_spectra_slope
2018,511-513,fall,-1.1471670779554453,nefsc_size_spectra_slope
2019,511-513,fall,-1.1949057537958527,nefsc_size_spectra_slope
1970,511-513,spring,-1.0408173411160153,nefsc_size_spectra_slope
1971,511-513,spring,-1.0625344700137798,nefsc_size_spectra_slope
1972,511-513,spring,-1.0538185398555868,nefsc_size_spectra_slope
1973,511-513,spring,-1.06515044499551,nefsc_size_spectra_slope
1974,511-513,spring,-1.0950468720475495,nefsc_size_spectra_slope
1975,511-513,spring,-1.1174519598309045,nefsc_size_spectra_slope
1976,511-513,spring,-1.1331314268988588,nefsc_size_spectra_slope
1977,511-513,spring,-1.1172712925745623,nefsc_size_spectra_slope
1978,511-513,spring,-1.125475758887323,nefsc_size_spectra_slope
1979,511-513,spring,-1.1324796515152782,nefsc_size_spectra_slope
1983,511-513,spring,-1.1770615509522888,nefsc_size_spectra_slope
1984,511-513,spring,-1.1408510785296146,nefsc_size_spectra_slope
1985,511-513,spring,-1.1549684094843577,nefsc_size_spectra_slope
1986,511-513,spring,-1.1020157476347423,nefsc_size_spectra_slope
1988,511-513,spring,-1.1408455796431527,nefsc_size_spectra_slope
1992,511-513,spring,-1.1035332884993234,nefsc_size_spectra_slope
1993,511-513,spring,-1.1659759699078482,nefsc_size_spectra_slope
1995,511-513,spring,-1.1067479894672518,nefsc_size_spectra_slope
1996,511-513,spring,-1.0979428594173812,nefsc_size_spectra_slope
1997,511-513,spring,-1.1048141842886368,nefsc_size_spectra_slope
1998,511-513,spring,-1.122349761270439,nefsc_size_spectra_slope
1999,511-513,spring,-1.220713380075845,nefsc_size_spectra_slope
2000,511-513,spring,-1.1313842326946866,nefsc_size_spectra_slope
2001,511-513,spring,-1.1102813153479787,nefsc_size_spectra_slope
2002,511-513,spring,-1.146553330236093,nefsc_size_spectra_slope
2004,511-513,spring,-1.1187644588960264,nefsc_size_spectra_slope
2005,511-513,spring,-1.1214837262938389,nefsc_size_spectra_slope
2006,511-513,spring,-1.1008640820100113,nefsc_size_spectra_slope
2007,511-513,spring,-1.0650081929336188,nefsc_size_spectra_slope
2008,511-513,spring,-1.1635179061598442,nefsc_size_spectra_slope
2009,511-513,spring,-1.151798090869613,nefsc_size_spectra_slope
2010,511-513,spring,-1.207896215007535,nefsc_size_spectra_slope
2011,511-513,spring,-1.2060470394106337,nefsc_size_spectra_slope
2012,511-513,spring,-1.1487049327016912,nefsc_size_spectra_slope
2013,511-513,spring,-1.2113766863345838,nefsc_size_spectra_slope
2014,511-513,spring,-1.1489170695630604,nefsc_size_spectra_slope
2015,511-513,spring,-1.2088683587969844,nefsc_size_spectra_slope
2016,511-513,spring,-1.2031079304859422,nefsc_size_spectra_slope
2017,511-513,spring,-1.189645792294382,nefsc_size_spectra_slope
2018,511-513,spring,-1.2254176117234916,nefsc_size_spectra_slope
2019,511-513,spring,-1.179163096337455,nefsc_size_spectra_slope
1970,511-513,all,-1.0492719635005718,nefsc_size_spectra_slope
1971,511-513,all,-1.095268686985567,nefsc_size_spectra_slope
1972,511-513,all,-1.1043159093838806,nefsc_size_spectra_slope
1973,511-513,all,-1.0775739544817935,nefsc_size_spectra_slope
1974,511-513,all,-1.113863970515844,nefsc_size_spectra_slope
1975,511-513,all,-1.1010398871861546,nefsc_size_spectra_slope
1976,511-513,all,-1.1326153439214819,nefsc_size_spectra_slope
1977,511-513,all,-1.1172712925745623,nefsc_size_spectra_slope
1978,511-513,all,-1.125475758887323,nefsc_size_spectra_slope
1979,511-513,all,-1.11771952326943,nefsc_size_spectra_slope
1981,511-513,all,-1.1369473351950132,nefsc_size_spectra_slope
1982,511-513,all,-1.1600936369113544,nefsc_size_spectra_slope
1983,511-513,all,-1.1722300392884493,nefsc_size_spectra_slope
1984,511-513,all,-1.158046944486899,nefsc_size_spectra_slope
1985,511-513,all,-1.1732399750931914,nefsc_size_spectra_slope
1986,511-513,all,-1.13578365326571,nefsc_size_spectra_slope
1987,511-513,all,-1.1274519621916221,nefsc_size_spectra_slope
1988,511-513,all,-1.1722076967246242,nefsc_size_spectra_slope
1992,511-513,all,-1.1327706752414934,nefsc_size_spectra_slope
1993,511-513,all,-1.1659759699078482,nefsc_size_spectra_slope
1994,511-513,all,-1.1678497510370187,nefsc_size_spectra_slope
1995,511-513,all,-1.1815010928910556,nefsc_size_spectra_slope
1996,511-513,all,-1.1230983087711337,nefsc_size_spectra_slope
1997,511-513,all,-1.1768262868470456,nefsc_size_spectra_slope
1998,511-513,all,-1.1145029076693134,nefsc_size_spectra_slope
1999,511-513,all,-1.2070130084528048,nefsc_size_spectra_slope
2000,511-513,all,-1.1407060738236598,nefsc_size_spectra_slope
2001,511-513,all,-1.1148058921581088,nefsc_size_spectra_slope
2002,511-513,all,-1.0528381803078382,nefsc_size_spectra_slope
2003,511-513,all,-1.0959829992141044,nefsc_size_spectra_slope
2004,511-513,all,-1.132787932122033,nefsc_size_spectra_slope
2005,511-513,all,-1.1062014142053695,nefsc_size_spectra_slope
2006,511-513,all,-1.126181868457751,nefsc_size_spectra_slope
2007,511-513,all,-1.1513867553335584,nefsc_size_spectra_slope
2008,511-513,all,-1.184299302434741,nefsc_size_spectra_slope
2009,511-513,all,-1.1017523304098837,nefsc_size_spectra_slope
2010,511-513,all,-1.201821360857231,nefsc_size_spectra_slope
2011,511-513,all,-1.1870107220138595,nefsc_size_spectra_slope
2012,511-513,all,-1.1143287318221102,nefsc_size_spectra_slope
2013,511-513,all,-1.2286971641583522,nefsc_size_spectra_slope
2014,511-513,all,-1.1458633656929123,nefsc_size_spectra_slope
2015,511-513,all,-1.2586614985055322,nefsc_size_spectra_slope
2016,511-513,all,-1.1815024531752163,nefsc_size_spectra_slope
2017,511-513,all,-1.189645792294382,nefsc_size_spectra_slope
2018,511-513,all,-1.1984721836684262,nefsc_size_spectra_slope
2019,511-513,all,-1.2029030032272152,nefsc_size_spectra_slope
